season,episode,character,dialogue
6,24,RAJ,"I’d love that, but she’s not really comfortable around people."
6,24,SHELDON,"Yeah, I used to be uncomfortable around people, but then I learned a trick. I pretend everyone I meet is a beloved character from Star Trek."
6,24,LEONARD,How’s that been working for you?
6,24,SHELDON,"Oh, like a charm, unnamed crewman in a red shirt."
6,24,HOWARD,"Leonard, I may have gotten you a job."
6,24,LEONARD,I have a job.
6,24,SHELDON,"Yes, he does. He caters to my every whim."
6,24,HOWARD,"No, in a couple of weeks, Stephen Hawking’s team is sending an expedition to the North Sea to test hydrodynamic simulations of black holes. One of their experimental physicists dropped out, and I recommended you."
6,24,LEONARD,"Well, do you really think I have a shot?"
6,24,HOWARD,"Yeah, I’ve worked with Hawking. I talked you up. He knows your research. I think this could happen."
6,24,LEONARD,"He knows, wow."
6,24,SHELDON,"Well, now, but do you think that’s a good idea? Uh, you know Star Trek. Should a guy with no name and a red shirt really go on an expedition?"
6,24,RAJ,"Hey, don’t discourage him. This is a fantastic opportunity."
6,24,SHELDON,"No one asked you, Uhura."
6,24,SHELDON,Would you like to hear a classic Sheldon Cooper factoid?
6,24,LEONARD,What do you think?
6,24,SHELDON,Great. I’ve been doing some reading about vehicular safety. Did you know that the highest number of drowning accidents happen on or around boats?
6,24,LEONARD,Interesting that you would bring that up when I might go work on a boat.
6,24,SHELDON,"Well, that’s the thing about factoids, they’re interesting."
6,24,LEONARD,I know what you’re doing. You don’t want me going on this research trip because you’re afraid to be alone.
6,24,SHELDON,"I’m not afraid to be alone. On land. On the sea, it would be terrifying. Because of all the drowning."
6,24,LEONARD,Sheldon.
6,24,SHELDON,"Fine, no more drowning talk. I’ll change the subject. Oh. Who do you think would win in a fight, you or a shark?"
6,24,LEONARD,"Look, I appreciate your signature blend of concern for me and incredible selfishness. If I get the chance to do this, there is nothing you can say that’s going to stop me."
6,24,SHELDON,"Very well. Things between you and Penny have never been better. I hope four months apart doesn’t change anything. I should have opened with that, huh?"
6,24,RAJ,"If you look carefully at Venus, you should be able to see the International Space Station pass by."
6,24,LUCY,Wow. Your friend was actually up there?
6,24,RAJ,Yeah. He brought me back a T-shirt that said My Friend Went to the Space Station and All I Got Was This Lousy T-Shirt
6,24,LUCY,Did he take the T-shirt to space?
6,24,RAJ,"Nope. It’s exactly as lousy as advertised. Speaking of friends, they have been asking to meet you. I was thinking maybe we could all hang out sometime?"
6,24,LUCY,I don’t know. How many are there?
6,24,RAJ,"Let’s see. Six. That’s pretty cool, I have six friends. Kind of like Sinatra."
6,24,LUCY,"Six strangers? That’s a lot of pressure. Staring at me, asking me personal questions. Like, what do you do? Where are you from? Why did you lock yourself in the bathroom?"
6,24,RAJ,"Okay, how about you just dip your toe in and meet one of them?"
6,24,LUCY,Will you be there?
6,24,RAJ,Of course.
6,24,LUCY,"Well, that’s two. Three if you count me. Oh, this is getting out of hand."
