season,episode,total_lines,total_words,unique_characters,imdb_rating,vote_count,sci_density_per_100_words,avg_type_token_ratio
8,10,206,2530,12,7.0,3714,0.593,0.961
8,11,212,2364,10,7.4,3611,0.127,0.968
8,12,214,2701,7,7.2,3503,0.222,0.961
8,13,200,2503,9,7.4,3498,0.919,0.954
8,14,224,2545,13,8.0,3801,0.707,0.961
8,15,229,2554,12,8.1,3891,0.431,0.974
8,16,214,2483,13,7.8,3662,0.604,0.972
8,17,212,2262,9,7.5,3452,0.044,0.967
8,18,230,2504,10,7.3,3437,0.599,0.97
8,19,204,2669,10,7.5,3456,0.187,0.965
8,20,235,2677,15,7.5,3429,0.411,0.971
8,21,225,2679,13,7.0,3347,0.485,0.959
8,22,203,2160,13,7.3,3408,0.324,0.968
8,23,195,2266,10,7.5,3496,0.265,0.97
8,24,256,2439,9,7.9,3920,0.041,0.976
9,1,249,2449,11,6.8,4309,0.082,0.975
9,2,202,2395,8,7.3,3699,0.0,0.963
9,3,219,2350,7,7.7,3779,0.298,0.976
9,4,181,2394,11,7.4,3567,0.125,0.95
9,5,199,2272,11,7.4,3485,0.088,0.962
9,6,245,2737,12,7.2,3557,0.402,0.972
9,7,192,2277,10,7.9,3669,0.176,0.971
9,8,229,2516,11,7.9,3682,0.636,0.973
9,9,228,2656,13,7.7,3685,0.339,0.969
9,10,192,2445,9,8.3,4144,0.082,0.963
9,11,221,2219,12,9.0,6017,0.135,0.961
9,12,234,2570,10,7.4,3318,0.7,0.965
9,13,218,2458,10,7.4,3342,0.0,0.961
9,14,242,2718,11,7.5,3395,0.184,0.958
9,15,213,2355,13,7.5,3336,0.042,0.977
9,16,204,2341,9,7.4,3468,0.256,0.96
9,17,182,2281,17,7.6,3494,0.175,0.962
9,18,226,2566,10,7.5,3270,0.156,0.973
9,19,236,2414,8,7.4,3193,0.373,0.965
9,20,238,2219,7,7.4,3168,0.135,0.975
9,21,232,2410,8,7.4,3164,0.0,0.966
9,22,262,2743,9,7.4,3103,0.364,0.973
9,23,228,2697,11,7.4,3114,0.111,0.964
9,24,257,2433,12,7.8,3516,0.082,0.979
10,1,264,2603,16,7.8,4081,0.077,0.974
10,2,232,2645,12,7.3,3328,0.416,0.974
10,3,236,2617,12,7.2,3212,0.191,0.965
10,4,232,2489,7,7.9,3493,0.602,0.971
10,5,225,2315,8,7.4,3166,0.13,0.972
10,6,242,2401,15,7.4,3231,0.083,0.972
10,7,240,2370,10,7.9,3424,0.253,0.971
10,8,209,2261,9,8.0,3538,0.486,0.972
10,9,203,2323,12,7.4,3122,0.559,0.962
10,10,240,2548,10,7.3,3129,0.039,0.974
10,11,225,2254,9,7.6,3189,0.31,0.976
10,12,229,2346,9,7.3,3211,0.128,0.97
10,13,196,2212,7,6.9,3085,0.09,0.968
10,14,252,2920,10,7.2,3025,0.068,0.97
10,15,214,2600,9,7.3,2986,0.5,0.966
10,16,217,2313,9,7.1,2894,0.346,0.971
10,17,243,2570,8,7.4,2948,0.0,0.973
10,18,234,2775,10,7.1,2898,0.108,0.972
10,19,188,2267,7,7.1,2951,0.882,0.965
10,20,237,2445,11,7.2,2916,0.368,0.967
10,21,217,2232,11,7.2,2953,0.269,0.972
10,22,237,2649,8,6.8,2906,0.264,0.969
10,23,225,2333,10,7.1,2856,0.3,0.975
10,24,219,2068,10,8.6,4000,0.58,0.978
